Anderson,6
Andrews,8
Angelina,6
Aransas,4
Archer,9
Armstrong,10
Atascosa,1
Austin,3
Bailey,8A
Bandera,1
Bastrop,1
Baylor,9
Bee,2
Bell,1
Bexar,1
Blanco,1
Borden,8A
Bosque,5
Bowie,6
Brazoria,3
Brazos,3
Brewster,8
Briscoe,10
Brooks,4
Brown,7B
Burleson,3
Burnet,1
Caldwell,1
Calhoun,2
Callahan,7B
Cameron,4
Camp,6
Carson,10
Cass,6
Castro,10
Chambers,3
Cherokee,6
Childress,10
Clay,9
Cochran,8A
Coke,7C
Coleman,7B
Collin,5
Collingsworth,10
Colorado,3
Comal,1
Comanche,7B
Concho,7C
Cooke,9
Coryell,7B
Cottle,8A
Crane,8
Crockett,7C
Crosby,8A
Culberson,8
Dallam,10
Dallas,5
Dawson,8A
Deaf Smith,10
Delta,5
Denton,9
De Witt,2
Dickens,8A
Dimmit,1
Donley,10
Duval,4
Eastland,7B
Ector,8
Edwards,1
Ellis,5
El Paso,8
Erath,7B
Falls,5
Fannin,5
Fayette,3
Fisher,7B
Floyd,8A
Foard,9
Fort Bend,3
Franklin,6
Freestone,5
Frio,1
Gaines,8A
Galveston,3
Garza,8A
Gillespie,1
Glasscock,8
Goliad,2
Gonzales,1
Gray,10
Grayson,9
Gregg,6
Grimes,3
Guadalupe,1
Hale,8A
Hall,10
Hamilton,7B
Hansford,10
Hardeman,9
Hardin,3
Harris,3
Harrison,6
Hartley,10
Haskell,7B
Hays,1
Hemphill,10
Henderson,5
Hidalgo,4
Hill,5
Hockley,8A
Hood,7B
Hopkins,5
Houston,6
Howard,8
Hudspeth,8
Hunt,5
Hutchinson,10
Irion,7C
Jack,9
Jackson,2
Jasper,3
Jeff Davis,8
Jefferson,3
Jim Hogg,4
Jim Wells,4
Johnson,5
Jones,7B
Karnes,2
Kaufman,5
Kendall,1
Kenedy,4
Kent,8A
Kerr,1
Kimble,7C
King,8A
Kinney,1
Kleberg,4
Knox,9
Lamar,5
Lamb,8A
Lampasas,7B
La Salle,1
Lavaca,2
Lee,3
Leon,5
Liberty,3
Limestone,
Lipscomb,10
Live Oak,2
Llano,1
Loving,8
Lubbock,8A
Lynn,8A
McCulloch,7C
McLennan,5
McMullen,1
Madison,3
Marion,6
Martin,8
Mason,1
Matagorda,3
Maverick,1
Medina,1
Menard,7C
Midland,8
Milam,1
Mills,7B
Mitchell,8
Montague,9
Montgomery,3
Moore,10
Morris,6
Motley,8A
Nacogdoches,6
Navarro,5
Newton,3
Nolan,7B
Nueces,4
Ochiltree,10
Oldham,10
Orange,3
Palo Pinto,7B
Panola,6
Parker,7B
Parmer,10
Pecos,8
Polk,3
Potter,10
Presidio,8
Rains,5
Randall,10
Reagan,7C
Real,1
Red River,6
Reeves,8
Refugio,2
Roberts,10
Robertson,5
Rockwall,5
Runnels,7C
Rusk,6
Sabine,6
San Augustine,6
San Jacinto,3
San Patricio,4
San Saba,7B
Schleicher,7C
Scurry,8A
Schackelford,7B
Shelby,6
Sherman,10
Smith,6
Somervell,7B
Starr,4
Stephens,7B
Sterling,8
Stonewall,7B
Sutton,7C
Swisher,10
Tarrant,5
Taylor,7B
Terrell,7C
Terry,8A
Throckmorton,7B
Titus,6
Tom Green,7C
Travis,1
Trinity,3
Tyler,3
Upshur,6
Upton,7C
Uvalde,1
Val Verde,1
Van Zandt,5
Victoria,2
Walker,3
Waller,3
Ward,8
Washington,3
Webb,4
Wharton,3
Wheeler,10
Wichita Falls,9
Wilbarger,9
Willacy,4
Williamson,1
Wilson,1
Winkler,8
Wise,9
Wood,6
Yoakum,8A
Young,9
Zapata,4
Zavala,1
